Name,Surname,url
Ajnishahe,Azemi,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Ajnishahe_Azemi.pdf
Abetare,Fazliu,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Abetare_Fazliu.pdf
Arben,Vitia,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Arben_Vitia.pdf
Arberije,Nagaveci,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Arberije_Nagaveci.pdf
Astrit,Hyseni,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Astrit_Hyseni.pdf
Avdi,Feri,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Avdi_Feri.pdf
Abit,Kastrati,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Abit_Kastrati.pdf
Besa,Rafuna,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Besa_Rafuna.pdf
Bardha,Dida Rugova,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Bardha_Dida-Rugova.pdf
Brahim,Mehmetaj,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Brahim_Mehmetaj.pdf
Behare,Sopjani,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Behare_Sopjani.pdf
Besart,Vllahinja,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Besart_Vllahinja.pdf
Bashkim,Ibrahimi,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Bashkim_Ibrahimi.pdf
Cuneyd,Ustaibo,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Cuneyd_Ustaibo.pdf
Dardan,Sejdiu,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Dardan_Sejdiu.pdf
Dren,Kukaj,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Dren_Kukaj.pdf
Defrim,Byqmeti,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Defrim_Byqmeti.pdf
Egzona,Podvorica,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Egzona_Podvorica.pdf
Enver,Tahiraj,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Enver_Tahiraj.pdf
Emin,Sylejmani,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Emin_Syeljmani.pdf
Ferat,Makolli,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Ferat_Makolli.pdf
Fisnik,Osmani,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Fisnik_Osmani.pdf
Flamur,Shala,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Flamur_Shala.pdf
Feti,Mehdiu,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Feti_Mehdiu.pdf
Fitim,Vokrri,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Fitim_Vokrri.pdf
Flamur,Zeqiri,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Flamur_Zeqiri.pdf
Gani,Sopi,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Gani_Sopi.pdf
Genc,Sherifi,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Genc_Sherifi.pdf
Genc,Bashota,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Genc_Bashota.pdf
Gent,Begolli,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Gent_Begolli.pdf
Hafir ,Hamiti,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Hafir_Hamiti.pdf
Halim,Halimi ,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Halim_Halimi.pdf
Hatixhe,Hoxha,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Hatixhe_Hoxha.pdf
Halil,Mustafa,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Halil%20Mustafa.pdf
Hasime,Krasniqi,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Hasime_Krasniqi.pdf
Haki,Breznica,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Haki_Breznica.pdf
Hysen,Durmishi,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Hysen_Durmishi.pdf
Hysen,Sogojeva,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Hysen_Sogojeva.pdf
Isa,Lahi,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Isa_Lahi.pdf
Islam,Pacolli,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Islam_Pacolli.pdf
Kimet,Zeqa,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Kimet_Zeqa.pdf
Kujtim,Berbatovci,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Kujtim_Berbatovci.pdf
Kreshnik ,Ahmeti,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Kreshnik_Ahmeti.pdf
Laura,Perjuci Zherka,http://www.akk-ks.org/declaration/2016/Komunat/Komuna_e_Prishtines/Laura_Perjuci_-_Zherka.pdf
