Name,Surname,url
Ajnishahe,Azemi,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Ajnishahe_Azemi.pdf
Arianit,Mustafa,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Arianit_Mustafa.pdf
Abetare,Fazliu,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Abetare_Fazliu.pdf
Albione ,Maloku,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Albione_Maloku.pdf
Ardian,Gashi,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Ardian_Gashi.pdf
Arben,Vitia,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Arben_Vitia.pdf
Ahmet,Maxhuni,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Ahmet_Maxhuni.pdf
Arberije,Nagaveci,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Arberije_Nagaveci.pdf
Astrit,Hyseni,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Astrit_Hyseni.pdf
Besa,Rafuna,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Besa_Rafuna.pdf
Bekim,Gashi,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Bekim_Gashi.pdf
Bardha,Dida Rugova,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Bardha_Dida-Rugova.pdf
Brahim,Mehmetaj,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Brahim_Mehmetaj.pdf
Cuneyd,Ustaibo,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Cuneyd_Ustaibo.pdf
Dardan,Sejdiu,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Dardan_Sejdiu.pdf
Defrim,Byqmeti,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Defrim_Byqmeti.pdf
Emin,Sylejmani,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Emin_Sylejmani.pdf
Emrush,Hyseni,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Emrush_Hyseni.pdf
Feti,Mehdiu,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Feti_Mehdiu.pdf
Flamur,Zeqiri,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Flamur_Zeqiri.pdf
Flamur,Shala,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Flamur_Shala.pdf
Genc,Sherifi,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Genc_Sherifi.pdf
Genc,Bashota,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Genc_Bashota.pdf
Hazir,Borovci,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Hazir_Borovci.pdf
Halim,Halimi ,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Halim_Halimi.pdf
Hatixhe,Hoxha,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Hatixhe_Hoxha.pdf
Halil,Mustafa,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Halil_Mustafa.pdf
Hasime,Krasniqi,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Hasime_Krasniqi.pdf
Hatixhe,Pupovci,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Hatixhe_Pupovci.pdf
Haki,Breznica,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Haki_Breznica.pdf
Hasan,Aliu,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Hasan_Aliu.pdf
Imer,Rama,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Imer_Rama.pdf
Islam,Pacolli,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Islam_Pacolli.pdf
Imer,Rusinovci,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Imer_Rusinovci.pdf
Kimet,Zeqa,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Kimet_Zeqa.pdf
Kujtim,Gashi,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Kujtim_Gashi.pdf
Kreshnik ,Ahmeti,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Kreshnik_Ahmeti.pdf
Laura ,Perjuci Zherka,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Laura_Perjuci_-_Zherka.pdf
Lirak,Celaj,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Lirak_Celaj.pdf
Liburn,Aliu,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Liburn_Aliu.pdf
Lirie,Avdiu,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Lirie_Avdiu.pdf
Lirjeta,Regjepi,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Lirjeta_Regjepi.pdf
Merita,Surkishi,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Merita_Surkishi.pdf
Mustafe,Krasniqi,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Mustafe_Krasniqi.pdf
Muhamet,Selmani,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Muhamet_Selmani.pdf
Mustafe,Hasani,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Mustafe_Hasani.pdf
Mirlinda,Sopi,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Mirlinda_Sopi.pdf
Muhedin,Nushi,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Muhedin_Nushi.pdf
Muhamet,Nura,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Muhamet_Nura.pdf
Naime,Osmani,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Naime_Osmani.pdf
Nora,Kelmendi,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Nora_Kelmendi.pdf
Nenad,Miloadinoviq,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Prishtines/Nenad_Miloadinoviq.pdf
