Name,Surname,url
Arben,Vitia,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Prishtines/Arben_Vitia.pdf
Agim,Gashi,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Prishtines/Agim_Gashi.pdf
Arianit,Mustafa,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Prishtines/Arianit_Mustafa.pdf
Ardian,Olluri,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Prishtines/Ardian_Olluri.pdf
Adelina,Fazliji,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Prishtines/Adelina_Fazliji.pdf
Avni,Fetahu,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Prishtines/Avni_Fetahu.pdf
Adrian,Berisha,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Prishtines/Adrian_Berisha.pdf
Agim,Kuleta,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Prishtines/Agim_Kuleta.pdf
Arbenita,Murseli,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Prishtines/Arbenita_Murseli.pdf
Besa,Rafuna,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Prishtines/Besa_Rafuna.pdf
Bardha,Dida Rugova,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Prishtines/Bardha_Dida_Rogova.pdf
Brahim,Mehmetaj,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Prishtines/Brahim_Mehmetaj.pdf
Behare,Sopjani,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Prishtines/Behare_Sopjani.pdf
Besart,Vllahinja,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Prishtines/Besart_Vllahinja.pdf
Baton,Dushi,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Prishtines/Baton_Dushi.pdf
Besnik,Mujeci,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Prishtines/Besnik_Mujeci.pdf
Bukurie,Canolli,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Prishtines/Bukurie_Canolli.pdf
Bashkim,Beha,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Prishtines/Bashkim_Beha.pdf
Dren,Kukaj,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Prishtines/Dren_Kukaj.pdf
Drilon,Pireva,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Prishtines/Drilon_Pireva.pdf
Egzon,Azemi,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Prishtines/Egzon_Azemi.pdf
Elmire,Nikci Rexha,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Prishtines/Elmire_Nikci_Rexha.pdf
Egzona,Podvorica,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Prishtines/Egzona_Podvorica.pdf
Eman,Rrahmani,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Prishtines/Eman_Rrahmani.pdf
Ferat,Makolli,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Prishtines/Ferat_Makolli.pdf
Fisnik,Osmani,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Prishtines/Fisnik_Osmani.pdf
Florent,Tahiraj,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Prishtines/Florent_Tahiraj.pdf
