Name,Surname,url
Aferdita,Veliu,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Aferdita_Veliu.pdf
Agim,Gashi,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Agim_Gashi.pdf
Ajnishah,Azemi,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Ajnishahe_Azemi.pdf
Arta ,Krasniqi,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Arta_Krasniqi.pdf
Avdullah ,Hoti,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Avdullah_Hoti.pdf
Aziz,Pacolli,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Aziz_Pacolli.pdf
Agim,Dibrani,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Agim_Dibrani.pdf
Agim ,Krasniqi,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Agim_Kasniqi.pdf
Arianit,Mustafa,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Arianit_Mustafa.pdf
Astrit,Hasani,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Astrit_Hasani.pdf
Avdush,Dobratiqi,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Avdush_Dobratiqi.pdf
Atrit ,Hyseni,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Astrit_Hyseni.pdf
Bajram,Selimaj,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Bajram_Selimaj.pdf
Behxhet,Musliu,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Behxhet_Musliu.pdf
Besa,Halimi Zagragja,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Besa_Halimi-Zagragja.pdf
Behare ,Sopjani,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Behare_Sopjani.pdf
Bekim,Gashi,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Bekim_Gashi1.pdf
Besa,Rafuna,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Besa_Rafuna.pdf
Bekim,Gashi,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Bekim_Gashi.pdf
Defrim,Byqmeti,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Defrim_Byqmeti.pdf
Donika,Surdulli,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Donika_Surdulli.pdf
Edon,Myftari,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Edon_Myftari.pdf
Engin,Beyoglu,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Engin_Beyoglu.pdf
Ekrem,Rexha,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Ekrem_Rexha.pdf
Elisah,Ymeri,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Elisah_Ymeri.pdf
Enver,Rakovica,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Enver_Rakovica.pdf
Fetah ,Salihu,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Fetah_Salihu.pdf
Flamur,Shala,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Flamur_Shala.pdf
Feti ,Mehdiu,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Feti_Mehdiu.pdf
Flamur ,Zeqiri,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Flamur_Zeiqiri.pdf
Gani,Sopi,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Gani_Sopi.pdf
Habib,Elshani,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Habib_Elshani.pdf
Hazir,Borovci,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Hazir_Borovci.pdf
Halim,Halimi ,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Halim_Halimi.pdf
Hetem,Kupina,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Hetem_Kupina.pdf
Ibush ,Kelmendi,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Ibush_Kelmendi.pdf
Isa,Mustafa,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Isa_Mustafa.pdf
Isa,Lahi,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Isa_Lahi.pdf
Ismail,Kasumi,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Ismail_Kasumi.pdf
Isak,Shabani,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Isak_Shabani.pdf
Ismet,Uka,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Ismet_Uka.pdf
Kimet,Zeqa,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Kimet_Zeqa.pdf
Liridon,Restelica,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Liridon_Restelica.pdf
Lumnie,Ramaj,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Lumnie_Rama.pdf
Luan,Jusufi,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Luan_Jusufi.pdf
Milazim,Vitija,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Milazim_Vitija.pdf
Meliza,Haradinaj,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Meliza_Haradinaj.pdf
Muhamet,Gashi,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Muhamet_Gashi.pdf
Mustafe,Krasniqi,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Mustafe_Krasniqi.pdf
Mejreme ,Berisha,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Mejreme_Berisha.pdf
Muhamet,Nura,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Muhamet_Nura.pdf
Musli,Mehaj,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Prishtines/Musli_Mehaj.pdf
