Name,Surname,url
Agim,Aliu,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Ferizajit/Agim_Aliu.pdf
Abdurrahman,Uruqi,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Ferizajit/Abdurrahman_Uruci.pdf
Ali,Luzha,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Ferizajit/Ali_Luzha.pdf
Ardian,Ferizi,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Ferizajit/Ardian_Ferizi.pdf
Avdulla,Hoxha,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Ferizajit/Avdulla_Hoxha.pdf
Adem,Sejdiu,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Ferizajit/Adem_Sejdiu.pdf
Agim,Berisha,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Ferizajit/Agim_Berisha.pdf
Arbenita,Sadiku,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Ferizajit/Arbenita_Sadiku.pdf
Asllan,Shabani,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Ferizajit/Asllan_Shabani.pdf
Asllan,Kruezi,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Ferizajit/Asllan_Kruezi.pdf
Besim,Zymberi,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Ferizajit/Besim_Zymberi.pdf
Bekim,Ademi,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Ferizajit/Bekim_Ademi.pdf
Burbuqe,Bucaliu,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Ferizajit/Burbuqe_Bucaliu.pdf
Bashkim,Hyseni,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Ferizajit/Bashkim_Hyseni.pdf
David,Demaj,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Ferizajit/David_Demaj.pdf
Faruk,Guri,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Ferizajit/Faruk_Guri.pdf
Ferinaze,Isufi,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Ferizajit/Ferinaze_Isufi.pdf
Fatmir,Azizi,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Ferizajit/Fatmir_Azizi.pdf
Flamur,Fazlija,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Ferizajit/Flamur_Fazlija.pdf
Fehmi,Reka,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Ferizajit/Fehmi_Reka.pdf
Gazmend,Bytyci,http://www.akk-ks.org/declaration/2013/Komunat/Komuna_e_Ferizajit/Gazmend_Bytyci.pdf
