Name,Surname,url
Abdurrahman,Uruqi,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Ferizajit/Abdurrahman_Uruqi.pdf
Arbrore,Aliu Reka,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Ferizajit/Arbrore_AliuReka.pdf
Avdulla,Hoxha,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Ferizajit/Avdulla_Hoxha.pdf
Adifete,Emini,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Ferizajit/Adifete_Emini.pdf
Arta,Tahiri,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Ferizajit/Arta_Tahiri.pdf
Alban,Idrizi,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Ferizajit/Alban_Idrizi.pdf
Abetare,Kurti,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Ferizajit/Abetare_Kurti.pdf
Ahmet,Misini,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Ferizajit/Ahmet_Misini.pdf
Albione,Maloku,
Burim,Karameta,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Ferizajit/Burim_Karameta.pdf
Bashkim,Fazliu,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Ferizajit/Bashkim_Fazliu.pdf
Edona,Bakolli,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Ferizajit/Edona_Bakolli.pdf
Elfete,Mehmeti,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Ferizajit/Elfete_Mehmeti.pdf
Ekrem,Mustafa,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Ferizajit/Ekrem_Mustafa.pdf
Enver,Haliti,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Ferizajit/Enver_Haliti.pdf
Erona,Kamberi,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Ferizajit/Erona_Kamberi.pdf
Faruk,Hyseni,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Ferizajit/Faruk_Hyseni.pdf
Faruk,Guri,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Ferizajit/Faruk_Guri.pdf
Fatmir,Azizi,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Ferizajit/Fatmir_Azizi.pdf
Faik,Grainca,http://www.akk-ks.org/declaration/2015/Komunat/Komuna_e_Ferizajit/Faik_Grainca.pdf
