Name,Surname,url
Agim,Aliu,http://www.akk-ks.org/declaration/2011/Komunat_e_Kosoves/Komuna_Ferizaj/Agim_Aliu.pdf
Bajrush,Xhemaili,http://www.akk-ks.org/declaration/2011/Komunat_e_Kosoves/Komuna_Ferizaj/Bajrush_Xhamaili.pdf
Besim,Zymberi,http://www.akk-ks.org/declaration/2011/Komunat_e_Kosoves/Komuna_Ferizaj/Besim_Zymberi.pdf
Rexhep,Bajrami,http://www.akk-ks.org/declaration/2011/Komunat_e_Kosoves/Komuna_Ferizaj/Rexhep_Bajrami.pdf
Vesel,Zhinipotoku,http://www.akk-ks.org/declaration/2011/Komunat_e_Kosoves/Komuna_Ferizaj/Vesel_Zhinipotoku.pdf
