Name,Surname,url
Alban,Idrizi,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Alban_Idrizi.pdf
Ahmet,Misini,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Ahmet_Misini.pdf
Arian,Imeri,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Arian_Imeri.pdf
Afrim,Llabjani,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Afrim_Llabjani.pdf
Ali,Halimi,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Ali_Halimi.pdf
Arben,Halili,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Arben_Halili.pdf
Agim,Aliu,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Agim_Aliu.pdf
Amir,Rexhepi,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Amir_Rexhepi.pdf
Arber,Bytyqi,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Arber_Bytyqi.pdf
Aurora,Ramadani,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Aurora_Ramadani.pdf
Bashkim,Fazliu,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Bashkim_Fazliu.pdf
Burim,Karameta,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Burim_Karameta.pdf
Bahrije,Hyseni,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Bahrije_Hyseni.pdf
Balton,Derguti,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Balton_Derguti.pdf
Betim,Shabani,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Betim_Shabani.pdf
Bashkim,Hyseni,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Bashkim_Hyseni.pdf
Burim,Bajrami,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Burim_Bajrami.pdf
Ekrem,Mustafa,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Ekrem_Mustafa.pdf
Enver,Haliti,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Enver_Halili.pdf
Elfete,Gashi,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Elfete_Mehmeti.pdf
Evetare,Azemi,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Evetare_Azemi.pdf
Erona,Kamberi,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Erona_Kamberi.pdf
Faruk,Hyseni,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Faruk_Hyseni.pdf
Faruk,Guri,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Faruk_Guri.pdf
Feim,Ibrahimi,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Feim_Ibrahimi.pdf
Fitim,Goga,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Fitim_Goga.pdf
Flora,Sejdiu Abdullahu,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Flora_Sejdiu_Abdullahu.pdf
Fatmire,Avdiu,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Fatmire_Avdiu.pdf
Fehmi,Reka,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Fehmi_Reka.pdf
Ferat,Neziri,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Ferat_Neziri.pdf
Fitore,Lipovica Reshani,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Fitore_Lipovica_Reshani.pdf
Florije,Musa,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Florije_Musa.pdf
Faton,Xhakli,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Faton_Xhakli.pdf
Gezim,Kokollari,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Gezim_Kokollari.pdf
Gezim,Haxhimusa,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Gezim_Haxhimusa.pdf
Hesat,Shatrolli,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Hesat_Shatrolli.pdf
Hysnije,Mustafa,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Hysnije_Mustafa.pdf
Hatixhe,Bungu Qerimi,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Hatixhe_Bungu_Qerimi.pdf
Imri,Hashani,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Imri_Hashani.pdf
Izet,Rushiti,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Izet_Rushiti.pdf
Jakup,Dumani,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Jakup_Dumani.pdf
Jehona,Mustafa,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Jehona_Mustafa.pdf
Kristina,Gashi Bytyqi,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Kristina_Gashi_Bytyqi.pdf
Lirije,Syla,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Lirije_Syla.pdf
Lulzim,Grainca,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Lulzim_Grainca.pdf
Lulzim,Aliu ,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Lulzim_Aliu.pdf
Lulzim,Abazi,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Lulzim_Abazi.pdf
Lumnije,Morina,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Lumnije_Morina.pdf
Luan,Jahiri,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Luan_Jahiri.pdf
Musa,Ibishi,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Musa_Ibishi.pdf
Mimoza,Pajaziti,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Mimoza_Pajaziti.pdf
Muhamet,Halili,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Muhamet_Halili.pdf
Muharrem,Svarqa,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Muharrem_Svarqa.pdf
Milaim,Selmani,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Milaim_Selmani.pdf
Makfire,Musa,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Makfire_Musa.pdf
Naim,Ferati,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Naim_Ferati.pdf
Nysret,Sylejmani,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Nysret_Sylejmani.pdf
Naim,Misini,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Naim_Misini.pdf
Nehat,Mustafa,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Nehat_Mustafa.pdf
Rafiz,Sejdiu,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Rafiz_Sejdiu.pdf
Sami,Osmani,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Sami_Osmani.pdf
Sylejman,Zeka,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Sylejman_Zeka.pdf
Sebahate,Sadiku,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Sebahate_Sadiku.pdf
Sabri,Murseli,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Sabri_Murseli.pdf
Saranda,Musliu,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Saranda_Musliu.pdf
Shefqet,Bajrami,http://www.akk-ks.org/declaration/2018/Komunat/Komuna_e_Ferizajit/Shefqet_Bajrami.pdf
