Name,Surname,url
Abdurrahman,Uruqi,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Abdurrahman_Uruqi.pdf
Arbrore,Aliu Reka,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Arbrore_AliuReka.pdf
Avdulla,Hoxha,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Avdulla_Hoxha.pdf
Adifete,Emini,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Adifete_Emini.pdf
Arta,Tahiri,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Arta_Tahiri.pdf
Burim,Karameta,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Burim_Karameta.pdf
Bashkim,Fazliu,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Bashkim_Fazliu.pdf
Edona,Bakolli,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Edona_Bakolli.pdf
Elfete,Mehmeti,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Elfete_Mehmeti.pdf
Ekrem,Mustafa,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Ekrem_Mustafa.pdf
Enver,Haliti,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Enver_Haliti.pdf
Faruk,Hyseni,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Faruk_Hyseni.pdf
Faruk,Guri,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Faruk_Guri.pdf
Ferinaze,Isufi,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Ferinaze_Isufi.pdf
Fatmir,Azizi,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Fatmir_Azizi.pdf
Fehmi,Reka,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Fehmi_Reka.pdf
Faik,Grainca,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Faik_Grainca.pdf
Gafurr,Ilazi,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Gafurr_Ilazi.pdf
Gazmend,Bytyci,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Gazmend_Bytyci.pdf
Hyzri,Delolli,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Hyzri_Delolli.pdf
Hesat,Shatrolli,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Hesat_Shatrolli.pdf
Hanife,Obrazhda Selimi,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Hanife_Obrazhda_Selimi.pdf
Hysnije,Mustafa,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Hysnije_Mustafa.pdf
Ibrahim,Hyseni,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Ibrahim_Hyseni.pdf
Imri,Hashani,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Imri_Hashani.pdf
Izet,Rushiti,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Izet_Rushiti.pdf
Ilir,Orllati,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Ilir_Orllati.pdf
Kristina,Gashi Bytyqi,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Kristina_Gashi-Bytyqi.pdf
Lulzim,Aliu,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Lulzim_Aliu.pdf
Lulzim,Grainca,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Lulzim_Grainca.pdf
Lirije,Syla,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Lirije_Syla.pdf
Musa,Ibishi,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Musa_Ibishi.pdf
Medain,Hashani,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Medain_Hashani.pdf
Mirlinda,Bytyqi Rexhepi,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Mirlinda_Bytyqi-Rexhepi.pdf
Mustafe,Grainca,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Mustafe_Grainca.pdf
Mimoza,Fazliu,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Mimoza_Fazliu.pdf
Mimoza,Pajaziti,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Mimoza_Pajaziti.pdf
Muhamet,Halili,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Muhamet_Halili.pdf
Milazim,Haliti,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Milazim_Haliti.pdf
Muhamet,Cerkini,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Muhamet_Cerkini.pdf
Muharrem,Svarqa,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Muharrem_Svarqa.pdf
Naim,Misini,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Naim_Misini.pdf
Qazime,Vata,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Qazime_Vata.pdf
Qazim ,Rrahmani,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Qazim_Rahmani.pdf
Ramadan,Baliu,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Ramadan_Baliu.pdf
Rafiz,Sejdiu,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Rafiz_Sejdiu.pdf
Sadete ,Lohaj,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Sadete_Lohaj.pdf
Sami,Osmani,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Sami_Osmani.pdf
Shkelzen,Marevci,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Shkelzen_Marevci.pdf
Shkelzen,Selmani,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Shkelzen_Selmani.pdf
Shpetim,Sojeva,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Shpetim_Sojeva.pdf
Sylejman,Zeka,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Sylejman_Zeka.pdf
Teuta,Beqa,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Teuta_Beqa.pdf
Visar,Demiri,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Visar_Demiri.pdf
Xhavit,Zariqi,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Xhavit_Zariqi.pdf
Xhevat,Sallahi,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Xhevat_Sallahi.pdf
Xhemajl,Recica,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Xhemajl_Recica.pdf
Zymrije,Haxhimusa,http://www.akk-ks.org/declaration/2014/Komunat/Komuna_e_Ferizajit/Zymrije_Haxhimusa.pdf
